World_bank_income_group,Region,Country,ISO3,Income_Quantiles,Indicator,DQQ_question,Unit,Year,Start_Date,End_Date,Mean_prevalence,Lower_95_CI,Upper_95_CI
Upper middle,Middle East and North Africa,Jordan,JOR,All,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5.04,4.89,5.19
Upper middle,Middle East and North Africa,Jordan,JOR,Poorest 20%,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,4.95,4.55,5.34
Upper middle,Middle East and North Africa,Jordan,JOR,Second 20%,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,4.73,4.37,5.08
Upper middle,Middle East and North Africa,Jordan,JOR,Middle 20%,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,4.83,4.56,5.11
Upper middle,Middle East and North Africa,Jordan,JOR,Fourth 20%,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5.2,4.87,5.53
Upper middle,Middle East and North Africa,Jordan,JOR,Richest 20%,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5.51,5.21,5.81
Upper middle,Middle East and North Africa,Jordan,JOR,All,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.86,2.73,3
Upper middle,Middle East and North Africa,Jordan,JOR,Poorest 20%,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.93,2.59,3.26
Upper middle,Middle East and North Africa,Jordan,JOR,Second 20%,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.63,2.3,2.95
Upper middle,Middle East and North Africa,Jordan,JOR,Middle 20%,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.64,2.39,2.89
Upper middle,Middle East and North Africa,Jordan,JOR,Fourth 20%,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.91,2.62,3.2
Upper middle,Middle East and North Africa,Jordan,JOR,Richest 20%,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,3.21,2.94,3.48
Upper middle,Middle East and North Africa,Jordan,JOR,All,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.36,2.22,2.5
Upper middle,Middle East and North Africa,Jordan,JOR,Poorest 20%,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.21,1.86,2.57
Upper middle,Middle East and North Africa,Jordan,JOR,Second 20%,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.17,1.86,2.49
Upper middle,Middle East and North Africa,Jordan,JOR,Middle 20%,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.3,2,2.6
Upper middle,Middle East and North Africa,Jordan,JOR,Fourth 20%,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.48,2.16,2.81
Upper middle,Middle East and North Africa,Jordan,JOR,Richest 20%,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.61,2.37,2.86
Upper middle,Middle East and North Africa,Jordan,JOR,All,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.5,9.35,9.66
Upper middle,Middle East and North Africa,Jordan,JOR,Poorest 20%,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.71,9.35,10.07
Upper middle,Middle East and North Africa,Jordan,JOR,Second 20%,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.46,9.11,9.8
Upper middle,Middle East and North Africa,Jordan,JOR,Middle 20%,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.34,9.01,9.66
Upper middle,Middle East and North Africa,Jordan,JOR,Fourth 20%,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.43,9.08,9.77
Upper middle,Middle East and North Africa,Jordan,JOR,Richest 20%,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.59,9.26,9.93
High,Americas,United States,USA,All,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.51,6.36,6.66
High,Americas,United States,USA,Poorest 20%,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.6,6.22,6.98
High,Americas,United States,USA,Second 20%,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.62,6.35,6.9
High,Americas,United States,USA,Middle 20%,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.44,6.1,6.79
High,Americas,United States,USA,Fourth 20%,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.6,6.33,6.87
High,Americas,United States,USA,Richest 20%,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.29,5.92,6.66
High,Americas,United States,USA,All,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,4,3.87,4.14
High,Americas,United States,USA,Poorest 20%,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,3.91,3.59,4.24
High,Americas,United States,USA,Second 20%,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,4.11,3.78,4.44
High,Americas,United States,USA,Middle 20%,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,3.96,3.67,4.24
High,Americas,United States,USA,Fourth 20%,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,4.1,3.81,4.38
High,Americas,United States,USA,Richest 20%,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,3.94,3.61,4.27
High,Americas,United States,USA,All,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.26,3.1,3.43
High,Americas,United States,USA,Poorest 20%,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.35,2.95,3.74
High,Americas,United States,USA,Second 20%,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.64,3.2,4.07
High,Americas,United States,USA,Middle 20%,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.15,2.79,3.52
High,Americas,United States,USA,Fourth 20%,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.12,2.78,3.45
High,Americas,United States,USA,Richest 20%,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.06,2.77,3.35
High,Americas,United States,USA,All,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.74,9.53,9.95
High,Americas,United States,USA,Poorest 20%,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.57,9.1,10.03
High,Americas,United States,USA,Second 20%,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.48,8.95,10
High,Americas,United States,USA,Middle 20%,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.81,9.31,10.3
High,Americas,United States,USA,Fourth 20%,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.98,9.5,10.46
High,Americas,United States,USA,Richest 20%,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.88,9.51,10.25
