World_bank_income_group,Region,Country,ISO3,Subgroup,Indicator,DQQ_question,Unit,Year,Start_Date,End_Date,Mean_prevalence,Lower_95_CI,Upper_95_CI,Difference,Diff_LCI,Diff_UCI,Diff_p
Upper middle,Middle East and North Africa,Jordan,JOR,All,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5.04,4.89,5.19,NA,NA,NA,NA
Upper middle,Middle East and North Africa,Jordan,JOR,Male,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5,4.78,5.22,0.1,-0.2,0.39,0.53
Upper middle,Middle East and North Africa,Jordan,JOR,Female,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5.1,4.89,5.3,0.1,-0.2,0.39,0.53
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5.05,4.87,5.23,-0.03,-0.35,0.29,0.85
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,Dietary diversity score,NA,Score,2021,01_09_2021,27_09_2021,5.08,4.81,5.35,-0.03,-0.35,0.29,0.85
Upper middle,Middle East and North Africa,Jordan,JOR,All,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.86,2.73,3,NA,NA,NA,NA
Upper middle,Middle East and North Africa,Jordan,JOR,Male,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.84,2.64,3.03,0.05,-0.21,0.32,0.7
Upper middle,Middle East and North Africa,Jordan,JOR,Female,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.89,2.71,3.07,0.05,-0.21,0.32,0.7
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.83,2.67,2.99,-0.1,-0.4,0.19,0.49
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,NCD-Protect,NA,Score,2021,01_09_2021,27_09_2021,2.94,2.69,3.19,-0.1,-0.4,0.19,0.49
Upper middle,Middle East and North Africa,Jordan,JOR,All,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.36,2.22,2.5,NA,NA,NA,NA
Upper middle,Middle East and North Africa,Jordan,JOR,Male,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.41,2.21,2.61,-0.11,-0.39,0.16,0.42
Upper middle,Middle East and North Africa,Jordan,JOR,Female,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.3,2.1,2.49,-0.11,-0.39,0.16,0.42
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.44,2.27,2.61,0.24,-0.06,0.53,0.11
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,NCD-Risk,NA,Score,2021,01_09_2021,27_09_2021,2.2,1.96,2.44,0.24,-0.06,0.53,0.11
Upper middle,Middle East and North Africa,Jordan,JOR,All,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.5,9.35,9.66,NA,NA,NA,NA
Upper middle,Middle East and North Africa,Jordan,JOR,Male,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.43,9.21,9.64,0.17,-0.14,0.47,0.28
Upper middle,Middle East and North Africa,Jordan,JOR,Female,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.59,9.38,9.81,0.17,-0.14,0.47,0.28
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.39,9.2,9.59,-0.34,-0.64,-0.04,0.03
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,GDR score,NA,Score,2021,01_09_2021,27_09_2021,9.74,9.51,9.97,-0.34,-0.64,-0.04,0.03
High,Americas,United States,USA,All,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.51,6.36,6.66,NA,NA,NA,NA
High,Americas,United States,USA,Male,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.55,6.35,6.75,-0.08,-0.37,0.22,0.62
High,Americas,United States,USA,Female,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.47,6.26,6.69,-0.08,-0.37,0.22,0.62
High,Americas,United States,USA,Urban,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.49,6.31,6.66,-0.1,-0.43,0.23,0.57
High,Americas,United States,USA,Rural,Dietary diversity score,NA,Score,2021,19_07_2021,04_10_2021,6.58,6.3,6.87,-0.1,-0.43,0.23,0.57
High,Americas,United States,USA,All,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,4,3.87,4.14,NA,NA,NA,NA
High,Americas,United States,USA,Male,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,3.96,3.76,4.16,0.09,-0.18,0.37,0.51
High,Americas,United States,USA,Female,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,4.05,3.86,4.24,0.09,-0.18,0.37,0.51
High,Americas,United States,USA,Urban,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,3.98,3.82,4.15,-0.08,-0.38,0.21,0.58
High,Americas,United States,USA,Rural,NCD-Protect,NA,Score,2021,19_07_2021,04_10_2021,4.07,3.82,4.31,-0.08,-0.38,0.21,0.58
High,Americas,United States,USA,All,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.26,3.1,3.43,NA,NA,NA,NA
High,Americas,United States,USA,Male,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.65,3.42,3.87,-0.76,-1.08,-0.43,0
High,Americas,United States,USA,Female,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,2.89,2.66,3.12,-0.76,-1.08,-0.43,0
High,Americas,United States,USA,Urban,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.15,2.96,3.34,-0.46,-0.84,-0.09,0.02
High,Americas,United States,USA,Rural,NCD-Risk,NA,Score,2021,19_07_2021,04_10_2021,3.61,3.29,3.93,-0.46,-0.84,-0.09,0.02
High,Americas,United States,USA,All,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.74,9.53,9.95,NA,NA,NA,NA
High,Americas,United States,USA,Male,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.31,9.02,9.6,0.85,0.44,1.27,0
High,Americas,United States,USA,Female,GDR score,NA,Score,2021,19_07_2021,04_10_2021,10.16,9.87,10.46,0.85,0.44,1.27,0
High,Americas,United States,USA,Urban,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.84,9.59,10.08,0.38,-0.1,0.85,0.12
High,Americas,United States,USA,Rural,GDR score,NA,Score,2021,19_07_2021,04_10_2021,9.46,9.05,9.87,0.38,-0.1,0.85,0.12
Upper middle,Europe and Central Asia,Turkey,TUR,All,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.53,6.36,6.7,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Turkey,TUR,Male,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.77,6.55,7,-0.51,-0.85,-0.17,0
Upper middle,Europe and Central Asia,Turkey,TUR,Female,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.26,6.01,6.51,-0.51,-0.85,-0.17,0
Upper middle,Europe and Central Asia,Turkey,TUR,Urban,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.54,6.34,6.75,0.07,-0.29,0.42,0.7
Upper middle,Europe and Central Asia,Turkey,TUR,Rural,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.47,6.19,6.76,0.07,-0.29,0.42,0.7
Upper middle,Europe and Central Asia,Turkey,TUR,All,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.32,4.15,4.48,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Turkey,TUR,Male,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.47,4.25,4.7,-0.32,-0.65,0.01,0.06
Upper middle,Europe and Central Asia,Turkey,TUR,Female,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.15,3.91,4.39,-0.32,-0.65,0.01,0.06
Upper middle,Europe and Central Asia,Turkey,TUR,Urban,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.4,4.2,4.6,0.32,-0.03,0.67,0.07
Upper middle,Europe and Central Asia,Turkey,TUR,Rural,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.08,3.8,4.36,0.32,-0.03,0.67,0.07
Upper middle,Europe and Central Asia,Turkey,TUR,All,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,2.05,1.89,2.21,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Turkey,TUR,Male,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,2.32,2.1,2.53,-0.55,-0.87,-0.23,0
Upper middle,Europe and Central Asia,Turkey,TUR,Female,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,1.76,1.53,1.99,-0.55,-0.87,-0.23,0
Upper middle,Europe and Central Asia,Turkey,TUR,Urban,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,2.16,1.97,2.36,0.43,0.11,0.76,0.01
Upper middle,Europe and Central Asia,Turkey,TUR,Rural,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,1.73,1.47,1.98,0.43,0.11,0.76,0.01
