old,new
WP5889,id
COUNTRYNEW,COUNTRYNEW
WP22295,DQ1
WP22296,DQ2
WP22297,DQ3
WP22298,DQ4
WP22299,DQ5
WP22300,DQ6a
WP22301,DQ6b
WP22302,DQ7a
WP22303,DQ7b
WP22304,DQ7c
WP22305,DQ8
WP22306,DQ9
WP22307,DQ10a
WP22308,DQ10b
WP22309,DQ10c
WP22310,DQ11
WP22311,DQ12
WP22312,DQ13
WP22312_IND,DQ13_IND
WP22313,DQ14
WP22314,DQ15
WP22315,DQ16
WP22315_IND,DQ16_IND
WP22316,DQ17
WP22316_IND,DQ17_INDa
WP22316_IND1,DQ17_INDb
WP22317,DQ18
WP22317_IND,DQ18_INDa
WP22317_IND1,DQ18_INDb
WP22318,DQ19
WP22318_IND,DQ19_IND
WP22319,DQ20
WP22319_IND,DQ20_IND
WP22319_ISR,DQ20_ISRa
WP22319_ISR1,DQ20_ISRb
WP22320,DQ21
WP22321,DQ22
WP22322,DQ23
WP22323,DQ24
WP22324,DQ25
WP22325,DQ26
WP22326,DQ27
WP22327,DQ28
WP22328,DQ29
Sex,Sex
FS,FS
GL,GL
age,age
WP7572,WP7572
DEGURBA_F2F,DEGURBA_F2F
WP14,WP14
