Income_group,Region,Country,ISO3,Subgroup,Variable,Variable_label,Mean_Prevalence,LCI,UCI,Difference,Diff_LCI,Diff_UCI,Diff_p
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM,MENA,Jordan,JOR,All,DQQ13,NA,0.34,0.31,0.38,NA,NA,NA,NA
UM,MENA,Jordan,JOR,All,all5,NA,0.28,0.25,0.32,NA,NA,NA,NA
H,AM,United States,USA,All,DQQ13,NA,0.5,0.47,0.53,NA,NA,NA,NA
H,AM,United States,USA,All,all5,NA,0.44,0.42,0.47,NA,NA,NA,NA
L,MENA,Turkey,TUR,All,DQQ13,NA,0.63,0.59,0.67,NA,NA,NA,NA
L,MENA,Turkey,TUR,All,all5,NA,0.5,0.46,0.54,NA,NA,NA,NA
L,AS,Pakistan,PAK,All,DQQ13,NA,0.42,0.37,0.47,NA,NA,NA,NA
L,AS,Pakistan,PAK,All,all5,NA,0.23,0.19,0.28,NA,NA,NA,NA
LM,AS,Indonesia,IDN,All,DQQ13,NA,0.81,0.78,0.84,NA,NA,NA,NA
LM,AS,Indonesia,IDN,All,all5,NA,0.6,0.55,0.65,NA,NA,NA,NA
LM,AS,Bangladesh,BGD,All,DQQ13,NA,0.36,0.33,0.4,NA,NA,NA,NA
LM,AS,Bangladesh,BGD,All,all5,NA,0.22,0.19,0.25,NA,NA,NA,NA
UM,AS,China,CHN,All,DQQ13,NA,0.65,0.63,0.68,NA,NA,NA,NA
UM,AS,China,CHN,All,all5,NA,0.54,0.52,0.57,NA,NA,NA,NA
LM,AS,India,IND,All,DQQ13,NA,0.25,0.22,0.28,NA,NA,NA,NA
LM,AS,India,IND,All,all5,NA,0.28,0.26,0.31,NA,NA,NA,NA
H,MENA,Israel,ISR,All,DQQ13,NA,0.51,0.48,0.55,NA,NA,NA,NA
H,MENA,Israel,ISR,All,all5,NA,0.45,0.4,0.5,NA,NA,NA,NA
LM,AS,Vietnam,VNM,All,DQQ13,NA,0.65,0.6,0.7,NA,NA,NA,NA
LM,AS,Vietnam,VNM,All,all5,NA,0.42,0.37,0.47,NA,NA,NA,NA
