World_bank_income_group,Region,Country,ISO3,Subgroup,Indicator,DQQ,Year,Mean_prevalence,Lower_95_CI,Upper_95_CI
Upper middle,Middle East and North Africa,Jordan,JOR,All,Food group diversity score,NA,2021,5.04,4.89,5.19
Upper middle,Middle East and North Africa,Jordan,JOR,Male,Food group diversity score,NA,2021,4.99,4.77,5.21
Upper middle,Middle East and North Africa,Jordan,JOR,Female,Food group diversity score,NA,2021,5.1,4.89,5.3
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,Food group diversity score,NA,2021,5.04,4.86,5.23
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,Food group diversity score,NA,2021,5.08,4.81,5.35
Upper middle,Middle East and North Africa,Jordan,JOR,All,NCD-Protect,NA,2021,2.86,2.73,3
Upper middle,Middle East and North Africa,Jordan,JOR,Male,NCD-Protect,NA,2021,2.84,2.64,3.03
Upper middle,Middle East and North Africa,Jordan,JOR,Female,NCD-Protect,NA,2021,2.89,2.71,3.07
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,NCD-Protect,NA,2021,2.83,2.67,2.99
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,NCD-Protect,NA,2021,2.94,2.69,3.19
Upper middle,Middle East and North Africa,Jordan,JOR,All,NCD-Risk,NA,2021,2.36,2.22,2.5
Upper middle,Middle East and North Africa,Jordan,JOR,Male,NCD-Risk,NA,2021,2.41,2.21,2.61
Upper middle,Middle East and North Africa,Jordan,JOR,Female,NCD-Risk,NA,2021,2.3,2.1,2.49
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,NCD-Risk,NA,2021,2.44,2.27,2.61
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,NCD-Risk,NA,2021,2.2,1.96,2.44
Upper middle,Middle East and North Africa,Jordan,JOR,All,GDR score,NA,2021,9.5,9.35,9.66
Upper middle,Middle East and North Africa,Jordan,JOR,Male,GDR score,NA,2021,9.43,9.21,9.64
Upper middle,Middle East and North Africa,Jordan,JOR,Female,GDR score,NA,2021,9.59,9.38,9.81
Upper middle,Middle East and North Africa,Jordan,JOR,Urban,GDR score,NA,2021,9.39,9.2,9.59
Upper middle,Middle East and North Africa,Jordan,JOR,Rural,GDR score,NA,2021,9.74,9.51,9.97
High,Americas,United States,USA,All,Food group diversity score,NA,2021,6.51,6.36,6.66
High,Americas,United States,USA,Male,Food group diversity score,NA,2021,6.55,6.35,6.75
High,Americas,United States,USA,Female,Food group diversity score,NA,2021,6.47,6.26,6.69
High,Americas,United States,USA,Urban,Food group diversity score,NA,2021,6.46,6.26,6.66
High,Americas,United States,USA,Rural,Food group diversity score,NA,2021,6.58,6.36,6.8
High,Americas,United States,USA,All,NCD-Protect,NA,2021,4,3.87,4.14
High,Americas,United States,USA,Male,NCD-Protect,NA,2021,3.96,3.76,4.16
High,Americas,United States,USA,Female,NCD-Protect,NA,2021,4.05,3.86,4.24
High,Americas,United States,USA,Urban,NCD-Protect,NA,2021,3.98,3.79,4.18
High,Americas,United States,USA,Rural,NCD-Protect,NA,2021,4.04,3.84,4.23
High,Americas,United States,USA,All,NCD-Risk,NA,2021,3.26,3.1,3.43
High,Americas,United States,USA,Male,NCD-Risk,NA,2021,3.65,3.42,3.87
High,Americas,United States,USA,Female,NCD-Risk,NA,2021,2.89,2.66,3.12
High,Americas,United States,USA,Urban,NCD-Risk,NA,2021,3.09,2.87,3.31
High,Americas,United States,USA,Rural,NCD-Risk,NA,2021,3.51,3.25,3.76
High,Americas,United States,USA,All,GDR score,NA,2021,9.74,9.53,9.95
High,Americas,United States,USA,Male,GDR score,NA,2021,9.31,9.02,9.6
High,Americas,United States,USA,Female,GDR score,NA,2021,10.16,9.87,10.46
High,Americas,United States,USA,Urban,GDR score,NA,2021,9.89,9.61,10.18
High,Americas,United States,USA,Rural,GDR score,NA,2021,9.53,9.22,9.84
Upper middle,Europe and Central Asia,Turkey,TUR,All,Food group diversity score,NA,2021,6.52,6.35,6.69
Upper middle,Europe and Central Asia,Turkey,TUR,Male,Food group diversity score,NA,2021,6.76,6.54,6.99
Upper middle,Europe and Central Asia,Turkey,TUR,Female,Food group diversity score,NA,2021,6.26,6.01,6.51
Upper middle,Europe and Central Asia,Turkey,TUR,Urban,Food group diversity score,NA,2021,6.54,6.34,6.75
Upper middle,Europe and Central Asia,Turkey,TUR,Rural,Food group diversity score,NA,2021,6.46,6.17,6.75
Upper middle,Europe and Central Asia,Turkey,TUR,All,NCD-Protect,NA,2021,4.32,4.15,4.48
Upper middle,Europe and Central Asia,Turkey,TUR,Male,NCD-Protect,NA,2021,4.47,4.25,4.7
Upper middle,Europe and Central Asia,Turkey,TUR,Female,NCD-Protect,NA,2021,4.15,3.91,4.39
Upper middle,Europe and Central Asia,Turkey,TUR,Urban,NCD-Protect,NA,2021,4.4,4.2,4.6
Upper middle,Europe and Central Asia,Turkey,TUR,Rural,NCD-Protect,NA,2021,4.08,3.8,4.36
Upper middle,Europe and Central Asia,Turkey,TUR,All,NCD-Risk,NA,2021,2.05,1.89,2.21
Upper middle,Europe and Central Asia,Turkey,TUR,Male,NCD-Risk,NA,2021,2.31,2.1,2.53
Upper middle,Europe and Central Asia,Turkey,TUR,Female,NCD-Risk,NA,2021,1.76,1.53,1.99
Upper middle,Europe and Central Asia,Turkey,TUR,Urban,NCD-Risk,NA,2021,2.16,1.96,2.36
Upper middle,Europe and Central Asia,Turkey,TUR,Rural,NCD-Risk,NA,2021,1.73,1.47,1.98
