"Gallup® World Poll Codebook: Data collected for Diet Quality, 2023",,,
"Copyright © 2023 Gallup, Inc. All rights reserved. This document contains proprietary research, copyrighted materials and literary property of Gallup, Inc. It is for the guidance of your organization only and is not to be copied, quoted, published or divulged to others outside your organization. No changes may be made to this document without the express written permission of Gallup, Inc.",,,
 ,,,
CaseID,Random Unique Case ID, , 
Weight,Weight, , 
FieldDate,Study Completion Date, , 
YEAR,Wave Year, , 
START_DATE,Interview Date, , 
END_DATE,Interview Date, , 
Country,Country Name, , 
COUNTRY_ISO2,Country ISO alpha-2 code, , 
COUNTRY_ISO3,Country ISO alpha-3 code, , 
Gender,Gender,1;2,Male;Female
Age,Age,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100,<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;<none>;99+;(Refused)
Education,Education Level,1;2;3;4;5,Completed elementary education or less (up to 8 years of basic education);Secondary - 3 year TertiarySecondary education and some education beyond secondary education (9-15 years of educatio;Completed four years of education beyond high school and/or received a 4-year college degree.;(DK);(RF)
IncomeQuintiles,Per Capita Income Quintiles,1;2;3;4;5,Poorest 20%;Second 20%;Middle 20%;Fourth 20%;Richest 20%
STRATA,Sampling Stratification 2, , 
PSU,Sampling Stage 1 (PSU), , 
Urbanicity,Urban/Rural,1;2;3;4;5;6,A rural area or on a farm;A small town or village;A large city;(DK);(Refused);A suburb of a large city
DEGURBA,Degree of Urbanisation,1;2;3;9,Rural areas;Towns and semi-dense areas;Cities;Not available
DQQ1,Ate Staple Foods Made From Grains Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ2,Ate Whole Grains Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ3,Ate White Roots/Tubers Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ4,Ate Legumes Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ5,Ate Vitamin A-Rich Orange Vegetables Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ6_1,Ate Dark Green Leafy Vegetables (First List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ6_2,Ate Dark Green Leafy Vegetables (Second List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ7_1,Ate Other Types of Vegetables (First List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ7_2,Ate Other Types of Vegetables (Second List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ7_3,Ate Other Types of Vegetables (Third List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ8,Ate Vitamin A-Rich Fruits Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ9,Ate Citrus Fruits Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ10_1,Ate Other Types of Fruits (First List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ10_2,Ate Other Types of Fruits (Second List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ10_3,Ate Other Types of Fruits (Third List) Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ11,Ate Baked Sweets Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ12,Ate Other Types of Sweets Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ13,Ate Eggs Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ13_IND,Ate Eggs Yesterday (India - Religion Is Not Jainism),1;2;8;9,Yes;No;(DK);(Refused)
DQQ14,Ate Cheese Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ15,Ate Yogurt Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
DQQ16,Ate Processed Meat Yesterday,1;2;8;9,Yes;No;(DK);(Refused)
